country,country_code,movie_title,movie_release_year
Australia,au,The Matrix,1999
Brazil,br,City of God,2002
Canada,ca,Interstellar,2014
France,fr,Cinema Paradiso,1988
France,fr,Léon: The Professional,1994
France,fr,The Pianist,2002
France,fr,City of God,2002
France,fr,The Intouchables,2011
Germany,de,The Usual Suspects,1995
Germany,de,Fight Club,1999
Germany,de,The Pianist,2002
Germany,de,City of God,2002
Hong Kong,hk,The Departed,2006
Italy,it,"The Good, the Bad and the Ugly",1966
Italy,it,Once Upon a Time in the West,1968
Italy,it,Cinema Paradiso,1988
Italy,it,Life Is Beautiful,1997
Japan,jp,Seven Samurai,1954
Japan,jp,Harakiri,1962
Japan,jp,Grave of the Fireflies,1988
Japan,jp,Spirited Away,2001
Malta,mt,Gladiator,2000
Morocco,ma,Gladiator,2000
New Zealand,nz,The Lord of the Rings: The Fellowship of the Ring,2001
New Zealand,nz,The Lord of the Rings: The Return of the King,2003
New Zealand,nz,The Lord of the Rings: The Two Towers,2002
Poland,pl,The Pianist,2002
South Korea,kr,Parasite,2019
Spain,es,"The Good, the Bad and the Ugly",1966
United Kingdom,gb,Gladiator,2000
United Kingdom,gb,The Pianist,2002
United Kingdom,gb,The Dark Knight,2008
United Kingdom,gb,The Prestige,2006
United Kingdom,gb,Interstellar,2014
United Kingdom,gb,Inception,2010
United States,us,Modern Times,1936
United States,us,Casablanca,1942
United States,us,It's a Wonderful Life,1946
United States,us,12 Angry Men,1957
United States,us,Psycho,1960
United States,us,Once Upon a Time in the West,1968
United States,us,The Godfather,1972
United States,us,The Godfather Part II,1974
United States,us,One Flew Over the Cuckoo's Nest,1975
United States,us,Star Wars: Episode IV - A New Hope,1977
United States,us,Star Wars: Episode V - The Empire Strikes Back,1980
United States,us,Back to the Future,1985
United States,us,Goodfellas,1990
United States,us,The Silence of the Lambs,1991
United States,us,Terminator 2: Judgment Day,1991
United States,us,Schindler's List,1993
United States,us,Forrest Gump,1994
United States,us,The Lion King,1994
United States,us,Léon: The Professional,1994
United States,us,Pulp Fiction,1994
United States,us,The Shawshank Redemption,1994
United States,us,Se7en,1995
United States,us,The Usual Suspects,1995
United States,us,American History X,1998
United States,us,The Green Mile,1999
United States,us,The Lord of the Rings: The Fellowship of the Ring,2001
United States,us,Saving Private Ryan,1998
United States,us,The Matrix,1999
United States,us,Fight Club,1999
United States,us,The Lord of the Rings: The Return of the King,2003
United States,us,The Lord of the Rings: The Two Towers,2002
United States,us,Gladiator,2000
United States,us,The Pianist,2002
United States,us,The Departed,2006
United States,us,The Dark Knight,2008
United States,us,The Prestige,2006
United States,us,Interstellar,2014
United States,us,Inception,2010
United States,us,Whiplash,2014
United States,us,Spider-Man: Across the Spider-Verse,2023
West Germany,xwg,"The Good, the Bad and the Ugly",1966
